,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,Evensk,61.95,159.23,21.83,88,19,7.27,RU,1587076981
376,Chinsali,-10.54,32.08,61.7,66,5,4.52,ZM,1587076981
377,Pizarro,4.95,-77.37,79.52,84,52,5.41,CO,1587076981
378,Port Hardy,50.7,-127.42,57.2,58,20,6.93,CA,1587076981
379,Fortuna,40.6,-124.16,66.0,87,1,16.11,US,1587076982
380,Hudson Bay,52.85,-102.38,31.05,81,89,8.12,CA,1587076925
381,Havre-St-Pierre,50.23,-63.6,30.2,54,75,23.04,CA,1587076982
382,Zhigansk,66.77,123.37,-3.41,88,16,17.83,RU,1587076982
383,Esim,4.87,-2.24,82.33,85,74,10.04,GH,1587076843
384,Ashukino,56.16,37.95,39.2,93,90,13.42,RU,1587076983
385,Khasan,42.43,130.64,45.97,81,100,12.59,RU,1587076983
386,Ugoofaaru,5.67,73.0,85.12,71,33,10.69,MV,1587076711
387,San Rafael,-34.62,-68.33,70.32,35,25,11.61,AR,1587076956
388,Labuhan,-6.88,112.21,81.3,82,79,2.82,ID,1587076950
389,Zhoucheng,35.91,116.31,60.24,32,0,13.58,CN,1587076984
390,Clyde River,70.47,-68.59,6.8,84,75,17.22,CA,1587076984
391,Omsukchan,62.53,155.8,16.05,88,100,7.27,RU,1587076984
392,Ol'ga,43.74,135.29,44.08,61,91,10.25,RU,1587076984
393,Ji’an,27.12,114.98,71.92,66,0,7.31,CN,1587076985
394,Tiznit Province,29.58,-9.5,58.06,58,19,2.82,MA,1587076985
395,Mitchell,43.71,-98.03,41.0,48,75,5.82,US,1587076985
396,Kincardine,56.07,-3.72,46.99,93,90,10.29,GB,1587076985
397,Turaif,31.67,38.66,64.4,52,75,11.41,SA,1587076986
398,Suntar,62.14,117.63,17.11,88,85,4.81,RU,1587076986
399,Philadelphia,39.95,-75.16,48.99,29,40,18.34,US,1587076774
400,Faya,18.39,42.45,59.0,93,0,4.7,SA,1587076986
401,Port Blair,11.67,92.75,82.72,74,95,3.8,IN,1587076987
402,Kudahuvadhoo,2.67,72.89,84.97,64,23,3.11,MV,1587076987
403,Tabuk,17.42,121.44,78.55,70,65,5.59,PH,1587076987
404,Pokhara,28.23,83.98,62.85,33,35,3.65,NP,1587076987
405,Dārāb,28.75,54.54,58.86,49,0,1.48,IR,1587076987
406,Kamina,-8.74,24.99,66.13,69,100,3.0,CD,1587076988
407,Kazachinskoye,57.7,93.28,35.92,87,75,2.17,RU,1587076988
408,Dhidhdhoo,6.88,73.1,85.35,65,97,6.8,MV,1587076988
409,Vanavara,60.34,102.28,32.79,85,100,10.47,RU,1587076988
410,Nurota,40.56,65.69,50.0,87,0,6.93,UZ,1587076988
411,Sampit,-2.53,112.95,78.91,88,88,2.06,ID,1587076989
412,Khilok,51.37,110.47,41.79,43,0,3.02,RU,1587076989
413,Leh,34.17,77.58,31.59,20,93,2.77,IN,1587076989
414,Laas,46.62,10.7,46.0,39,10,2.24,IT,1587076990
415,Cape Canaveral,28.41,-80.6,68.0,82,75,9.17,US,1587076744
416,Flin Flon,54.77,-101.86,35.6,34,20,11.41,CA,1587076990
417,Norrtälje,59.76,18.7,42.01,44,52,13.87,SE,1587076991
418,Canmore,51.08,-115.35,43.0,41,1,6.93,CA,1587076694
419,Muisne,0.6,-80.03,82.4,78,40,4.7,EC,1587076991
420,Igarka,67.47,86.58,26.53,97,98,9.91,RU,1587076991
421,Manavālakurichi,8.13,77.3,80.6,88,40,3.36,IN,1587076991
422,Honiara,-9.43,159.95,82.4,83,75,2.24,SB,1587076992
423,Los Llanos de Aridane,28.66,-17.92,68.0,68,40,8.05,ES,1587076865
424,Snezhnogorsk,69.19,33.25,33.8,86,75,11.18,RU,1587076992
425,Temir,49.14,57.13,40.14,77,100,4.61,KZ,1587076992
426,Arica,-18.48,-70.3,68.0,77,17,10.29,CL,1587076790
427,Capão da Canoa,-29.75,-50.01,64.81,72,1,9.26,BR,1587076992
428,Kibala,9.11,18.35,86.88,15,24,1.54,TD,1587076993
429,Dzaoudzi,-12.79,45.27,80.6,83,71,2.24,YT,1587076993
430,Itarema,-2.92,-39.92,78.35,87,42,6.78,BR,1587076993
431,Coquimbo,-29.95,-71.34,62.6,77,15,11.41,CL,1587076994
432,Jalu,29.03,21.55,66.31,38,82,7.96,LY,1587076994
433,Beneditinos,-5.45,-42.37,80.6,83,100,4.7,BR,1587076994
434,Shahreza,32.03,51.88,53.06,33,75,1.34,IR,1587076994
435,North Platte,41.12,-100.77,32.0,67,90,14.99,US,1587076995
436,Kondol',52.82,45.06,39.0,84,100,15.77,RU,1587076995
437,Samarai,-10.62,150.67,84.67,71,79,6.17,PG,1587076995
438,Ca Mau,9.18,105.15,82.02,80,89,8.93,VN,1587076995
439,Semey,50.41,80.23,45.66,61,5,3.71,KZ,1587076996
440,Būlaevo,54.91,70.44,44.6,59,100,10.6,KZ,1587076996
441,Ribas do Rio Pardo,-20.44,-53.76,59.79,62,0,4.92,BR,1587076996
442,Beloha,-25.17,45.05,75.07,64,5,6.69,MG,1587076996
443,Dunkwa,5.97,-1.78,76.78,90,78,3.6,GH,1587076997
444,Wuwei,37.93,102.64,48.99,24,96,2.13,CN,1587076744
445,Abay,49.63,72.85,32.0,50,0,6.71,KZ,1587076997
446,Bull Savanna,17.89,-77.59,76.1,74,17,4.79,JM,1587076998
447,Kearney,40.7,-99.08,32.0,92,90,19.46,US,1587076998
448,Naze,28.37,129.48,62.6,88,40,2.24,JP,1587076741
449,Galveston,29.37,-94.97,75.2,56,40,14.99,US,1587076998
450,Kyra,49.58,111.98,43.84,40,0,5.12,RU,1587076999
451,Kiryat Gat,31.61,34.76,62.6,77,40,4.7,IL,1587076827
452,Vestmannaeyjar,63.44,-20.27,43.92,95,100,12.59,IS,1587076999
453,Lagos,6.58,3.75,84.2,89,20,6.93,NG,1587076762
454,Velyka Mykhaylivka,47.08,29.85,52.56,58,78,6.62,UA,1587076999
455,Yenagoa,4.92,6.26,79.83,92,95,5.41,NG,1587077000
456,Torres,-29.34,-49.73,64.22,69,0,9.1,BR,1587077000
457,Shediac,46.22,-64.54,39.0,34,40,13.87,CA,1587077000
458,Gamba,-2.65,10.0,78.6,88,100,4.41,GA,1587077000
459,Ubari,26.59,12.78,75.0,28,65,8.5,LY,1587077001
460,Haines Junction,60.75,-137.51,43.09,66,100,2.01,CA,1587076845
461,Kizilskoye,52.73,58.89,40.21,65,100,9.53,RU,1587077001
462,Pangoa,-12.12,-73.0,63.54,78,88,1.57,PE,1587077001
463,Zhangye,38.93,100.45,52.0,20,100,3.31,CN,1587077001
464,Vung Tau,10.35,107.08,81.64,78,73,15.1,VN,1587077002
465,Constitución,-35.33,-72.42,56.01,82,33,5.53,CL,1587077002
466,Rocha,-34.48,-54.33,58.59,91,0,5.01,UY,1587077002
467,Payson,40.04,-111.73,50.0,39,40,5.82,US,1587077002
468,Andenes,69.31,16.12,33.8,86,92,4.7,NO,1587077003
469,High Level,58.52,-117.14,55.4,35,75,10.29,CA,1587076941
470,Imeni Poliny Osipenko,52.42,136.49,47.37,50,0,7.61,RU,1587077003
471,Port-Gentil,-0.72,8.78,80.6,94,40,2.24,GA,1587077003
472,Abnūb,27.27,31.15,69.8,49,38,20.8,EG,1587077004
473,Key West,24.56,-81.78,89.6,70,1,6.93,US,1587076896
474,Te Anau,-45.42,167.72,55.99,71,85,4.54,NZ,1587076827
475,Onda,39.97,-0.25,62.6,100,75,2.24,ES,1587077004
476,Igrim,63.19,64.42,41.47,94,100,11.61,RU,1587077004
477,Muncar,-8.43,114.33,81.39,79,85,2.48,ID,1587077005
478,Ancud,-41.87,-73.82,59.0,100,90,20.8,CL,1587077005
479,Hasaki,35.73,140.83,51.01,70,75,10.29,JP,1587077001
480,Barra do Garças,-15.89,-52.26,72.19,83,100,2.51,BR,1587077005
481,Springbok,-29.66,17.89,50.34,42,2,5.57,ZA,1587077006
482,Gandajika,-6.75,23.95,69.96,75,96,3.36,CD,1587077006
483,Saint-Pierre,-21.34,55.48,73.4,69,23,14.99,RE,1587077006
484,Ghanzi,-21.57,21.78,70.47,23,43,6.04,BW,1587077006
485,Salcedo,12.81,121.47,82.0,77,91,5.32,PH,1587077006
486,Magadan,59.57,150.8,24.94,96,100,7.87,RU,1587077007
487,Jardim,-21.48,-56.14,61.2,58,0,4.59,BR,1587076973
488,Emerald,-23.53,148.17,73.0,83,0,5.82,AU,1587076995
489,Kiama,-34.68,150.87,68.0,55,8,12.75,AU,1587077008
490,Niamtougou,9.77,1.11,85.71,37,19,2.98,TG,1587077008
491,Illapel,-31.63,-71.17,62.04,59,14,3.22,CL,1587077008
492,Dauphin,51.15,-100.05,32.56,76,90,8.88,CA,1587076907
493,Waiouru,-39.48,175.67,55.4,72,99,11.18,NZ,1587077008
494,La Paz,-16.5,-68.15,50.0,43,40,11.41,BO,1587077006
495,Bhādāsar,28.28,74.32,87.98,18,97,3.2,IN,1587077009
496,Alice,27.75,-98.07,78.8,41,90,18.34,US,1587077009
497,Aiquile,-18.2,-65.18,55.38,39,91,3.47,BO,1587077009
498,San Juan,-31.54,-68.54,72.27,32,0,1.3,AR,1587076807
499,Leer,8.3,30.14,83.84,12,12,4.07,SS,1587077010
500,Mergen,49.18,125.22,54.82,32,3,5.44,CN,1587077010
501,Bubaque,11.28,-15.83,79.47,69,49,14.2,GW,1587077010
502,Kununurra,-15.77,128.73,73.4,94,97,3.36,AU,1587076729
503,Fort Morgan,40.25,-103.8,28.4,79,90,13.87,US,1587077010
504,Rome,43.21,-75.46,37.99,37,75,17.22,US,1587077011
505,Upata,8.01,-62.4,81.82,39,45,5.55,VE,1587077011
506,Moose Factory,51.26,-80.61,21.2,53,90,13.87,CA,1587077011
507,Thomaston,32.89,-84.33,71.6,22,1,3.36,US,1587076880
508,Bagua Grande,-5.76,-78.44,75.56,61,92,3.04,PE,1587077012
509,Okha,53.57,142.95,35.82,83,0,7.56,RU,1587077013
510,Chicama,-7.84,-79.15,71.6,83,11,6.93,PE,1587077013
511,Murgab,37.5,61.97,59.0,44,0,6.87,TM,1587077013
512,Linhares,-19.39,-40.07,74.34,92,36,4.18,BR,1587077013
513,Ardakān,32.31,54.02,60.8,51,20,6.93,IR,1587077014
514,Pacific Grove,36.62,-121.92,70.0,72,90,11.41,US,1587076774
515,Severo-Kuril'sk,50.68,156.12,31.28,95,96,13.29,RU,1587076746
516,Appleton,44.26,-88.42,44.6,18,40,20.8,US,1587077014
517,Cayenne,4.93,-52.33,78.8,83,92,4.7,GF,1587077014
518,Christchurch,-43.53,172.63,53.01,100,90,1.12,NZ,1587076905
519,Paramirim,-13.44,-42.24,71.69,70,94,4.94,BR,1587077015
